name,ring,quadrant,isNew,description,Descriptive text here,Tech Champ,URL,URL Text,,ring_dropdown,,quadrant_dropdown,isNew_dropdown,Link to Radar,
.Net 6,adopt,languages & frameworks,TRUE,"<strong>.Net 6</strong> delivers the final parts of the .NET unification plan that started with .NET 5. .NET 6 unifies the SDK, base libraries, and runtime across mobile, desktop, IoT, and cloud apps.<a href=""https://docs.microsoft.com/en-us/dotnet/core/whats-new/dotnet-6"">what's new in .Net 6</a> Tech Champ <strong>Vaughan</strong>.","delivers the final parts of the .NET unification plan that started with .NET 5. .NET 6 unifies the SDK, base libraries, and runtime across mobile, desktop, IoT, and cloud apps.",Vaughan,https://docs.microsoft.com/en-us/dotnet/core/whats-new/dotnet-6,what's new in .Net 6,,adopt,"Using now, BAU",tools,TRUE,Google Sheet version,https://radar.thoughtworks.com/?sheetId=https://docs.google.com/spreadsheets/d/1bDrznOiiQUVjiZyQyS-Osp9W1b9FamMwXuPruURLCKY&sheetName=LMS 
C#,adopt,languages & frameworks,FALSE,"<strong>C#</strong> is mostly used with Microsoft's .NET framework to design web forms, web applications, windows applications etc. Website and web application development using Asp. net is the most popular and most commercial use of C# currently.<a href=""https://docs.microsoft.com/en-us/dotnet/csharp/"">C# Guide | Microsoft Docs</a> Tech Champ <strong>?</strong>.","is mostly used with Microsoft's .NET framework to design web forms, web applications, windows applications etc. Website and web application development using Asp. net is the most popular and most commercial use of C# currently.",,https://docs.microsoft.com/en-us/dotnet/csharp/,C# Guide | Microsoft Docs,,,,,,,
Entity Framework Core,adopt,languages & frameworks,FALSE,"<strong>Entity Framework Core</strong> is an Object Relational Mapper (ORM) which is a type of tool that simplifies mapping between objects in your software to the tables and columns of a relational database. Entity Framework (EF) is an open source ORM framework for ADO.NET which is a part of .NET Framework.<a href=""https://docs.microsoft.com/en-us/ef/"">https://docs.microsoft.com/en-us/ef/</a> Tech Champ <strong>?</strong>.",is an Object Relational Mapper (ORM) which is a type of tool that simplifies mapping between objects in your software to the tables and columns of a relational database. Entity Framework (EF) is an open source ORM framework for ADO.NET which is a part of .NET Framework.,,https://docs.microsoft.com/en-us/ef/,https://docs.microsoft.com/en-us/ef/,,trial,"Ready for use, but not as completely proven as those in the Adopt ring. Use these on a trial basis, to decide whether they should be part of our toolkit",languages & frameworks,FALSE,This Sheet,
React,adopt,languages & frameworks,FALSE,"<strong>React</strong> is a JavaScript library for building user interfaces. It is maintained by Facebook and a community of individual developers and companies. React can be used as a base in the development of single-page or mobile applications, as it is optimal for fetching rapidly changing data that needs to be recorded<a href=""https://reactjs.org/"">https://reactjs.org/</a> Tech Champ <strong>?</strong>.","is a JavaScript library for building user interfaces. It is maintained by Facebook and a community of individual developers and companies. React can be used as a base in the development of single-page or mobile applications, as it is optimal for fetching rapidly changing data that needs to be recorded",,https://reactjs.org/,https://reactjs.org/,,assess,"should look at closely, but not necessarily trial yet. Good candidate for Innovation day, Incubator or Hackathons",platforms,,RadarLink,https://radar.thoughtworks.com/?sheetId=https%3A%2F%2Fdocs.google.com%2Fspreadsheets%2Fd%2F1dgtvzB2Mo1w0A7MG0ailGu9A81uM2J6CYZCI1QWueAE%2Fedit%3Fusp%3Dsharing
Redux,adopt,languages & frameworks,FALSE,"<strong>Redux</strong> is a state management tool. While it's mostly used with React, it can be used with any other JavaScript framework or library. It is lightweight at 2KB (including dependencies), so you don't have to worry about it making your application's asset size bigger.<a href=""https://redux.js.org/introduction/getting-started"">https://redux.js.org/introduction/getting-started</a> Tech Champ <strong>?</strong>.","is a state management tool. While it's mostly used with React, it can be used with any other JavaScript framework or library. It is lightweight at 2KB (including dependencies), so you don't have to worry about it making your application's asset size bigger.",,https://redux.js.org/introduction/getting-started,https://redux.js.org/introduction/getting-started,,hold,"Has problems,  should be moving away from ",techniques,,Share,https://docs.google.com/spreadsheets/d/1dgtvzB2Mo1w0A7MG0ailGu9A81uM2J6CYZCI1QWueAE/edit?usp=sharing
SQL Server,adopt,languages & frameworks,FALSE,"<strong>SQL Server</strong> is a relational database management system developed by Microsoft. As a database server, it is a software product with the primary function of storing and retrieving data as requested by other software applications—which may run either on the same computer or on another computer across a network.<a href=""https://www.microsoft.com/en-in/sql-server/sql-server-2019"">SQL Server 2019</a> Tech Champ <strong>?</strong>.","is a relational database management system developed by Microsoft. As a database server, it is a software product with the primary function of storing and retrieving data as requested by other software applications—which may run either on the same computer or on another computer across a network.",,https://www.microsoft.com/en-in/sql-server/sql-server-2019,SQL Server 2019,,,,,,Publish,https://docs.google.com/spreadsheets/d/e/2PACX-1vR_amKxWjjmB8CAhAqrQPxnxNHPZ1G-3c-0_nVk20lcfh5lnrcKTGTUDA1wOOmDmb_bmicMpK34B2VM/pubhtml
Azure DevOps YAML pipelines,adopt,languages & frameworks,TRUE,"<strong>Azure DevOps YAML pipelines</strong> Build, test and deploy with CI/CD that works with any language, platform and cloud. Connect to GitHub or any other Git provider and deploy continuously.<a href=""https://azure.microsoft.com/en-gb/services/devops/"">AzureDevOps</a> Tech Champ <strong>?</strong>.","Build, test and deploy with CI/CD that works with any language, platform and cloud. Connect to GitHub or any other Git provider and deploy continuously.",,https://azure.microsoft.com/en-gb/services/devops/,AzureDevOps,,,,,,,
NUnit,adopt,languages & frameworks,FALSE,"<strong>NUnit</strong> is an open-source unit testing framework for the .NET Framework and Mono. It serves the same purpose as JUnit does in the Java world, and is one of many programs in the xUnit family.<a href=""https://nunit.org/"">https://nunit.org/</a> Tech Champ <strong>?</strong>.","is an open-source unit testing framework for the .NET Framework and Mono. It serves the same purpose as JUnit does in the Java world, and is one of many programs in the xUnit family.",,https://nunit.org/,https://nunit.org/,,,,,,,
XUnit,adopt,languages & frameworks,TRUE,"<strong>XUnit</strong> is a free, open source, community-focused unit testing tool for the .NET Framework. Written by the original inventor of NUnit v2, xUnit.net is the latest technology for unit testing C#, F#, VB.NET and other .NET languages. xUnit.net works with ReSharper, CodeRush, TestDriven.NET and Xamarin.<a href=""https://github.com/xunit/xunit"">https://github.com/xunit/xunit</a> Tech Champ <strong>?</strong>.","is a free, open source, community-focused unit testing tool for the .NET Framework. Written by the original inventor of NUnit v2, xUnit.net is the latest technology for unit testing C#, F#, VB.NET and other .NET languages. xUnit.net works with ReSharper, CodeRush, TestDriven.NET and Xamarin.",,https://github.com/xunit/xunit,https://github.com/xunit/xunit,,,,,,,
Nsubstitute,adopt,languages & frameworks,FALSE,"<strong>Nsubstitute</strong> A friendly substitute for .NET mocking libraries<a href=""https://nsubstitute.github.io/""></a> Tech Champ <strong>?</strong>.",A friendly substitute for .NET mocking libraries,,https://nsubstitute.github.io/,,,,,,,,
