name,ring,quadrant,isNew,description,Descriptive text here,Tech Champ,URL,URL Text,,ring_dropdown,,quadrant_dropdown,isNew_dropdown,Link to Radar,
.Net 6,adopt,languages & frameworks,TRUE,"<strong>.Net 6</strong> delivers the final parts of the .NET unification plan that started with .NET 5. .NET 6 unifies the SDK, base libraries, and runtime across mobile, desktop, IoT, and cloud apps.<a href=""https://docs.microsoft.com/en-us/dotnet/core/whats-new/dotnet-6"">what's new in .Net 6</a> Tech Champ <strong>Vaughan</strong>.","delivers the final parts of the .NET unification plan that started with .NET 5. .NET 6 unifies the SDK, base libraries, and runtime across mobile, desktop, IoT, and cloud apps.",Vaughan,https://docs.microsoft.com/en-us/dotnet/core/whats-new/dotnet-6,what's new in .Net 6,,adopt,"Using now, BAU",tools,TRUE,Google Sheet version,https://radar.thoughtworks.com/?sheetId=https://docs.google.com/spreadsheets/d/1bDrznOiiQUVjiZyQyS-Osp9W1b9FamMwXuPruURLCKY&sheetName=LMS 
Azure DevOps YAML pipelines,adopt,languages & frameworks,TRUE,"<strong>Azure DevOps YAML pipelines</strong> Build, test and deploy with CI/CD that works with any language, platform and cloud. Connect to GitHub or any other Git provider and deploy continuously.<a href=""https://azure.microsoft.com/en-gb/services/devops/"">AzureDevOps</a> Tech Champ <strong>?</strong>.","Build, test and deploy with CI/CD that works with any language, platform and cloud. Connect to GitHub or any other Git provider and deploy continuously.",,https://azure.microsoft.com/en-gb/services/devops/,AzureDevOps,,,,,,,
XUnit,adopt,languages & frameworks,TRUE,"<strong>XUnit</strong> is a free, open source, community-focused unit testing tool for the .NET Framework. Written by the original inventor of NUnit v2, xUnit.net is the latest technology for unit testing C#, F#, VB.NET and other .NET languages. xUnit.net works with ReSharper, CodeRush, TestDriven.NET and Xamarin.<a href=""https://github.com/xunit/xunit"">https://github.com/xunit/xunit</a> Tech Champ <strong>?</strong>.","is a free, open source, community-focused unit testing tool for the .NET Framework. Written by the original inventor of NUnit v2, xUnit.net is the latest technology for unit testing C#, F#, VB.NET and other .NET languages. xUnit.net works with ReSharper, CodeRush, TestDriven.NET and Xamarin.",,https://github.com/xunit/xunit,https://github.com/xunit/xunit,,trial,"Ready for use, but not as completely proven as those in the Adopt ring. Use these on a trial basis, to decide whether they should be part of our toolkit",languages & frameworks,FALSE,This Sheet,https://docs.google.com/spreadsheets/d/e/2PACX-1vSgPPmpTJhi1FkCCt3LwlfbOLehnC6EAYc9OxT9tONdm-s0fKPzWNSoY2jY9bWbYY5Mw0DDniPNneHy/pubhtml
Jest,adopt,languages & frameworks,TRUE,"<strong>Jest</strong> is an open-source test framework created by Facebook that has a great integration with React. js. It includes a command line tool for test execution similar to what Jasmine and Mocha offer.<a href=""https://jestjs.io/docs/tutorial-react"">https://jestjs.io/docs/tutorial-react</a> Tech Champ <strong>?</strong>.",is an open-source test framework created by Facebook that has a great integration with React. js. It includes a command line tool for test execution similar to what Jasmine and Mocha offer.,,https://jestjs.io/docs/tutorial-react,https://jestjs.io/docs/tutorial-react,,assess,"should look at closely, but not necessarily trial yet. Good candidate for Innovation day, Incubator or Hackathons",platforms,,GitHub CSV Version,
Material UI,trial,languages & frameworks,TRUE,"<strong>Material UI</strong> is simply a library that allows us to import and use different components to create a user interface in our React applications. This saves a significant amount of time since the developers do not need to write everything from scratch<a href=""https://mui.com/"">https://mui.com/</a> Tech Champ <strong>?</strong>.",is simply a library that allows us to import and use different components to create a user interface in our React applications. This saves a significant amount of time since the developers do not need to write everything from scratch,,https://mui.com/,https://mui.com/,,hold,"Has problems,  should be moving away from ",techniques,,Share,https://docs.google.com/spreadsheets/d/1dgtvzB2Mo1w0A7MG0ailGu9A81uM2J6CYZCI1QWueAE/edit?usp=sharing
Python for MIS,assess,languages & frameworks,TRUE,"<strong>Python for MIS</strong> Python<a href=""""></a> Tech Champ <strong>Simon</strong>.",Python,Simon,,,,,,,,,
TypeScript,assess,languages & frameworks,TRUE,"<strong>TypeScript</strong> is an open-source language which builds on JavaScript, one of the world's most used tools, by adding static type definitions. Types provide a way to describe the shape of an object, providing better documentation, and allowing TypeScript to validate that your code is working correctly.<a href=""https://www.typescriptlang.org/""></a> Tech Champ <strong>?</strong>.","is an open-source language which builds on JavaScript, one of the world's most used tools, by adding static type definitions. Types provide a way to describe the shape of an object, providing better documentation, and allowing TypeScript to validate that your code is working correctly.",,https://www.typescriptlang.org/,,,,,,,Works for me in LMS,
Enzyme,hold,languages & frameworks,TRUE,"<strong>Enzyme</strong> is a JavaScript Testing utility for React that makes it easier to assert, manipulate, and traverse your React Components' output. It was developed at Airbnb and later transferred to an independent organization.<a href=""https://enzymejs.github.io/enzyme/"">https://enzymejs.github.io/enzyme/</a> Tech Champ <strong>?</strong>.","is a JavaScript Testing utility for React that makes it easier to assert, manipulate, and traverse your React Components' output. It was developed at Airbnb and later transferred to an independent organization.",,https://enzymejs.github.io/enzyme/,https://enzymejs.github.io/enzyme/,,,,,,,
T-SQL,hold,languages & frameworks,TRUE,"<strong>T-SQL</strong> adds transactions to QSL<a href=""""></a> Tech Champ <strong>Simon </strong>.",adds transactions to QSL,Simon ,,,,,,,,,
SharePoint,adopt,platforms,TRUE,#REF!,"Organizations use Microsoft SharePoint to create websites. You can use it as a secure place to store, organize, share, and access information from any device. All you need is a web browser",,Get started with SharePoint.,Get started with SharePoint.,,,,,,,
